analysis_group,run_id,evaluated_genomes_milestone,species_count
c2_sequential,20260409_1707,1000,27.0
c2_sequential,20260410_1929,0,14.0
c2_sequential,20260410_1929,100,14.0
c2_sequential,20260410_1929,200,18.0
c2_sequential,20260410_1929,300,11.0
c2_sequential,20260410_1929,400,21.0
c2_sequential,20260410_1929,500,21.0
c2_sequential,20260410_1929,600,26.0
c2_sequential,20260410_1929,700,20.0
c2_sequential,20260410_1929,800,19.0
c2_sequential,20260410_1929,900,30.0
c2_sequential,20260410_1929,1000,30.0
c2_parallel_2w,20260407_0817,0,14.0
c2_parallel_2w,20260407_0817,100,14.0
c2_parallel_2w,20260407_0817,200,20.0
c2_parallel_2w,20260407_0817,300,22.0
c2_parallel_2w,20260407_0817,400,27.0
c2_parallel_2w,20260407_0817,500,11.0
c2_parallel_2w,20260407_0817,600,23.0
c2_parallel_2w,20260407_0817,700,29.0
c2_parallel_2w,20260407_0817,800,37.0
c2_parallel_2w,20260407_0817,900,36.0
c2_parallel_2w,20260407_0817,1000,22.0
c2_parallel_2w,20260407_1721,0,14.0
c2_parallel_2w,20260407_1721,100,14.0
c2_parallel_2w,20260407_1721,200,16.0
c2_parallel_2w,20260407_1721,300,18.0
c2_parallel_2w,20260407_1721,400,18.0
c2_parallel_2w,20260407_1721,500,29.0
c2_parallel_2w,20260407_1721,600,28.0
c2_parallel_2w,20260407_1721,700,28.0
c2_parallel_2w,20260407_1721,800,31.0
c2_parallel_2w,20260407_1721,900,38.0
c2_parallel_2w,20260407_1721,1000,38.0
c2_parallel_2w,20260409_0120,0,14.0
c2_parallel_2w,20260409_0120,100,14.0
c2_parallel_2w,20260409_0120,200,19.0
c2_parallel_2w,20260409_0120,300,13.0
c2_parallel_2w,20260409_0120,400,32.0
c2_parallel_2w,20260409_0120,500,14.0
c2_parallel_2w,20260409_0120,600,12.0
c2_parallel_2w,20260409_0120,700,45.0
c2_parallel_2w,20260409_0120,800,47.0
c2_parallel_2w,20260409_0120,900,50.0
c2_parallel_2w,20260409_0120,1000,49.0
c2_parallel_2w,20260410_1709,0,14.0
c2_parallel_2w,20260410_1709,100,14.0
c2_parallel_2w,20260410_1709,200,16.0
c2_parallel_2w,20260410_1709,300,20.0
c2_parallel_2w,20260410_1709,400,19.0
c2_parallel_2w,20260410_1709,500,21.0
c2_parallel_2w,20260410_1709,600,19.0
c2_parallel_2w,20260410_1709,700,33.0
c2_parallel_2w,20260410_1709,800,30.0
c2_parallel_2w,20260410_1709,900,13.0
c2_parallel_2w,20260410_1709,1000,16.0
c2_parallel_2w,20260411_0006,0,14.0
c2_parallel_2w,20260411_0006,100,14.0
c2_parallel_2w,20260411_0006,200,20.0
c2_parallel_2w,20260411_0006,300,10.0
c2_parallel_2w,20260411_0006,400,23.0
c2_parallel_2w,20260411_0006,500,26.0
c2_parallel_2w,20260411_0006,600,27.0
c2_parallel_2w,20260411_0006,700,28.0
c2_parallel_2w,20260411_0006,800,31.0
