cohort,mds1,mds2,generation,toxicity
seq,-0.011937,0.071454,16,0.054800
seq,0.156676,0.146937,16,0.057700
seq,0.227041,0.038421,16,0.056000
seq,0.217740,0.029896,16,0.099200
seq,0.241221,0.023154,17,0.229800
seq,0.215090,0.037373,17,0.209700
seq,0.213546,0.023965,17,0.096100
seq,0.205107,0.033691,17,0.184600
seq,0.211004,0.035613,17,0.199600
seq,0.131643,0.024359,17,0.056500
seq,0.213179,0.028492,18,0.111300
seq,0.214914,0.037723,18,0.237400
seq,0.211559,0.036676,18,0.235200
seq,0.202509,0.037459,18,0.173700
seq,0.240017,-0.022158,18,0.128700
seq,0.147358,0.168724,18,0.113700
seq,0.211573,0.022518,19,0.125200
seq,0.184524,0.030944,19,0.209700
seq,0.176259,0.005330,19,0.114500
seq,0.207769,0.049367,20,0.201000
seq,-0.011153,-0.040366,21,0.234200
seq,0.199613,0.041851,21,0.150500
seq,0.215651,0.037086,21,0.072100
seq,0.197944,0.024648,21,0.185500
seq,0.230364,0.052785,22,0.187400
seq,0.201418,0.033016,22,0.151600
seq,0.216051,0.036476,23,0.172900
seq,0.214359,0.037277,23,0.150500
seq,0.174535,0.008074,24,0.063000
seq,0.204664,0.013672,25,0.153800
seq,0.213234,0.037508,25,0.236700
seq,0.211111,0.016957,26,0.203100
seq,0.212132,0.036766,26,0.215100
seq,0.209375,0.034511,26,0.209700
seq,0.201242,0.010225,29,0.110600
seq,0.212107,0.038167,46,0.207100
seq,0.149627,-0.420081,12,0.018200
seq,0.120710,-0.397827,12,0.050300
seq,0.315648,-0.111687,20,0.048300
seq,0.067209,0.169651,42,0.082400
seq,0.053473,-0.633798,43,0.026500
seq,-0.088238,-0.001932,48,0.034700
seq,0.367946,0.255383,48,0.114100
seq,0.243377,0.215009,48,0.083200
seq,0.035750,-0.597327,50,0.025900
seq,0.213197,0.036721,51,0.058200
seq,0.215625,0.037068,51,0.239600
seq,0.212907,0.036863,51,0.117400
seq,0.193032,0.047207,51,0.182700
seq,0.353164,0.058693,52,0.022400
seq,0.359546,-0.480253,53,0.008400
seq,0.355038,-0.465174,53,0.012100
seq,0.283296,-0.244832,56,0.114400
seq,0.248284,0.121880,56,0.034500
seq,0.278508,0.127451,56,0.114100
seq,0.190797,-0.105017,56,0.030300
seq,0.115396,-0.006195,28,0.027100
seq,0.237521,0.620744,28,0.027200
seq,-0.508571,-0.031543,59,0.277500
seq,-0.577357,0.145170,59,0.360400
seq,-0.161354,-0.672900,19,0.024800
seq,-0.161152,-0.673856,20,0.019400
seq,-0.100457,-0.659570,20,0.059000
seq,-0.181378,-0.570551,20,0.045100
seq,0.022631,-0.669032,29,0.031700
seq,-0.110450,-0.200142,52,0.037600
seq,-0.122029,-0.547466,52,0.101800
seq,-0.048505,-0.092881,17,0.062600
seq,-0.116196,-0.158677,17,0.074500
seq,-0.351041,0.100036,38,0.048100
seq,-0.452190,0.162007,39,0.059200
seq,-0.167234,0.516358,40,0.057300
seq,-0.254479,-0.267662,11,0.029800
seq,-0.580331,-0.224854,11,0.025100
seq,0.117266,-0.067340,11,0.044100
seq,-0.077010,-0.155828,17,0.042200
seq,-0.194889,-0.230364,27,0.030200
seq,0.147608,-0.142096,28,0.038800
seq,0.306406,0.188037,28,0.034300
