genome_id,species_id,generation,source_file,species_pareto_rank,global_pareto_rank,reserves_pareto_rank,archive_pareto_rank,on_global_f0,on_species_f0,on_reserves_f0,on_archive_f0,toxicity,severe_toxicity,identity_attack,insult,profanity,threat,sexually_explicit,flirtation
1060,2423,0,elites.json,5,15,-1,-1,False,False,False,False,0.0371,0.0011,0.0102,0.0137,0.0106,0.0065,0.0052,0.171
51,2423,0,elites.json,0,0,-1,-1,True,True,False,False,0.3054,0.0119,0.0176,0.0555,0.1608,0.012,0.4079,0.5315
52,2423,0,elites.json,1,2,-1,-1,False,False,False,False,0.2367,0.0076,0.0189,0.0415,0.0884,0.0109,0.3744,0.4327
95,2423,0,elites.json,0,0,-1,-1,True,True,False,False,0.3734,0.0195,0.0634,0.0743,0.1879,0.041,0.4139,0.5005
96,2423,0,elites.json,1,2,-1,-1,False,False,False,False,0.2316,0.0062,0.0222,0.055,0.0467,0.0122,0.3714,0.3909
97,2423,0,elites.json,2,3,-1,-1,False,False,False,False,0.201,0.0058,0.0236,0.0468,0.0489,0.0154,0.3426,0.271
312,2423,0,elites.json,3,10,-1,-1,False,False,False,False,0.0753,0.0028,0.0083,0.0248,0.0271,0.0107,0.0183,0.3541
344,2423,0,elites.json,1,3,-1,-1,False,False,False,False,0.1593,0.0056,0.0114,0.0253,0.0932,0.0084,0.2929,0.3089
364,2423,0,elites.json,1,2,-1,-1,False,False,False,False,0.2629,0.0069,0.0119,0.0462,0.1018,0.0083,0.3744,0.3725
366,2423,0,elites.json,3,5,-1,-1,False,False,False,False,0.1126,0.0031,0.0089,0.0208,0.0374,0.0087,0.2342,0.3386
372,2423,0,elites.json,6,17,-1,-1,False,False,False,False,0.0201,0.0011,0.0039,0.01,0.0147,0.008,0.0083,0.2502
471,2423,0,elites.json,4,10,-1,-1,False,False,False,False,0.1129,0.0033,0.0131,0.025,0.0271,0.0129,0.0166,0.2699
923,2423,0,elites.json,0,4,-1,-1,False,True,False,False,0.1304,0.0078,0.052,0.0283,0.0913,0.0537,0.082,0.392
2793,2423,23,elites.json,1,3,-1,-1,False,False,False,False,0.1931,0.0073,0.0206,0.0291,0.0926,0.0124,0.3426,0.2699
4714,2423,161,elites.json,3,11,-1,-1,False,False,False,False,0.0503,0.0024,0.0102,0.0198,0.0289,0.0105,0.0258,0.3213
4716,2423,161,elites.json,0,0,-1,-1,True,True,False,False,0.3051,0.0164,0.0949,0.0635,0.1282,0.0504,0.3928,0.4838
4719,2423,161,elites.json,2,3,-1,-1,False,False,False,False,0.205,0.0064,0.0121,0.0326,0.064,0.017,0.3744,0.4267
4722,2423,161,elites.json,3,9,-1,-1,False,False,False,False,0.08,0.0047,0.006,0.0185,0.0344,0.0131,0.0258,0.3403
4755,2423,163,elites.json,3,3,-1,-1,False,False,False,False,0.1846,0.0043,0.0132,0.0294,0.0444,0.0172,0.3503,0.2952
4759,2423,163,elites.json,6,18,-1,-1,False,False,False,False,0.0138,0.001,0.0027,0.0085,0.0129,0.0076,0.0083,0.2968
4761,2423,163,elites.json,4,12,-1,-1,False,False,False,False,0.0538,0.0022,0.0055,0.0212,0.019,0.0101,0.0121,0.3288
4765,2423,163,elites.json,4,14,-1,-1,False,False,False,False,0.0183,0.0012,0.0024,0.011,0.0174,0.0069,0.0081,0.3568
5138,2423,189,elites.json,5,16,-1,-1,False,False,False,False,0.03,0.001,0.0036,0.017,0.0135,0.0068,0.0053,0.2816
5141,2423,189,elites.json,3,3,-1,-1,False,False,False,False,0.2345,0.0056,0.0129,0.0346,0.0462,0.0136,0.3741,0.3143
5147,2423,189,elites.json,4,13,-1,-1,False,False,False,False,0.053,0.0019,0.0051,0.0213,0.0285,0.009,0.0117,0.2636
5148,2423,189,elites.json,5,15,-1,-1,False,False,False,False,0.022,0.0012,0.0037,0.0101,0.0154,0.0085,0.0117,0.2968
5150,2423,189,elites.json,1,2,-1,-1,False,False,False,False,0.2077,0.0066,0.0129,0.0334,0.0645,0.0182,0.3744,0.4278
5404,2423,206,elites.json,1,4,-1,-1,False,False,False,False,0.1478,0.0063,0.0625,0.0336,0.0845,0.0472,0.0655,0.2218
5447,2423,210,elites.json,1,1,-1,-1,False,False,False,False,0.2741,0.0101,0.0312,0.0618,0.0871,0.0452,0.3883,0.3809
5449,2423,210,elites.json,2,2,-1,-1,False,False,False,False,0.2352,0.0065,0.0258,0.045,0.065,0.0151,0.3744,0.3611
5450,2423,210,elites.json,1,2,-1,-1,False,False,False,False,0.2367,0.006,0.0095,0.0275,0.1229,0.0073,0.3741,0.3561
5455,2423,210,elites.json,3,4,-1,-1,False,False,False,False,0.1593,0.0038,0.0186,0.027,0.0387,0.0108,0.3426,0.3189
3704,2423,90,elites.json,4,11,-1,-1,False,False,False,False,0.0595,0.0021,0.0081,0.0232,0.0255,0.0104,0.0114,0.3311
36,2423,0,elites.json,3,12,-1,-1,False,False,False,False,0.0481,0.0021,0.0057,0.0186,0.017,0.0113,0.0085,0.3277
1526,2423,0,elites.json,1,6,-1,-1,False,False,False,False,0.1593,0.0115,0.0087,0.0308,0.0993,0.0196,0.0903,0.3867
5653,2423,225,elites.json,6,21,-1,-1,False,False,False,False,0.014,0.0011,0.0026,0.0078,0.0135,0.0078,0.0086,0.1602
5656,2423,225,elites.json,3,10,-1,-1,False,False,False,False,0.056,0.0023,0.0051,0.0211,0.0189,0.0102,0.0196,0.3695
5657,2423,225,elites.json,4,13,-1,-1,False,False,False,False,0.0309,0.0013,0.0058,0.0127,0.0183,0.0087,0.0124,0.3139
5659,2423,225,elites.json,3,6,-1,-1,False,False,False,False,0.1031,0.0023,0.0078,0.0206,0.023,0.0103,0.1958,0.3241
5810,2423,235,elites.json,1,2,-1,-1,False,False,False,False,0.2397,0.0092,0.0189,0.0579,0.0916,0.0239,0.3936,0.386
5813,2423,235,elites.json,8,22,-1,-1,False,False,False,False,0.009,0.0007,0.0022,0.0072,0.0121,0.0071,0.0049,0.2221
5817,2423,235,elites.json,2,2,-1,-1,False,False,False,False,0.2313,0.0057,0.0218,0.035,0.0512,0.0229,0.3744,0.3459
5820,2423,235,elites.json,5,15,-1,-1,False,False,False,False,0.0293,0.0014,0.0043,0.0112,0.0179,0.0089,0.0118,0.2512
5821,2423,235,elites.json,7,18,-1,-1,False,False,False,False,0.019,0.0008,0.0031,0.0099,0.0136,0.0074,0.0071,0.2412
