genome_id,species_id,generation,source_file,species_pareto_rank,global_pareto_rank,reserves_pareto_rank,archive_pareto_rank,on_global_f0,on_species_f0,on_reserves_f0,on_archive_f0,toxicity,severe_toxicity,identity_attack,insult,profanity,threat,sexually_explicit,flirtation
3076,-1,50,archive.json,-1,8,-1,6,False,False,False,False,0.2022,0.0043,0.0472,0.0683,0.0722,0.0115,0.0179,0.2055
3235,-1,62,archive.json,-1,1,-1,1,False,False,False,False,0.2013,0.0074,0.2088,0.0655,0.0823,0.0189,0.0366,0.3527
4226,-1,130,archive.json,-1,7,-1,6,False,False,False,False,0.1141,0.0036,0.0966,0.0362,0.0204,0.0078,0.0119,0.3181
4265,-1,134,archive.json,-1,10,-1,8,False,False,False,False,0.1048,0.0046,0.0101,0.0226,0.0399,0.0123,0.0237,0.1921
4203,-1,128,archive.json,-1,7,-1,6,False,False,False,False,0.0996,0.0038,0.0291,0.0277,0.0444,0.0103,0.0274,0.4189
4266,-1,134,archive.json,-1,10,-1,8,False,False,False,False,0.0953,0.0023,0.0289,0.0261,0.021,0.0088,0.0136,0.3265
67,-1,0,archive.json,-1,10,-1,8,False,False,False,False,0.0713,0.0028,0.0099,0.0179,0.0296,0.0136,0.0231,0.2565
1428,-1,0,archive.json,-1,14,-1,12,False,False,False,False,0.061,0.0017,0.0053,0.0275,0.0213,0.0088,0.011,0.2954
878,-1,0,archive.json,-1,14,-1,11,False,False,False,False,0.0355,0.0018,0.0044,0.0119,0.0198,0.0094,0.0114,0.2867
2111,-1,0,archive.json,-1,17,-1,15,False,False,False,False,0.0317,0.0013,0.0028,0.0163,0.0157,0.0072,0.0078,0.2324
2970,-1,40,archive.json,-1,15,-1,12,False,False,False,False,0.0314,0.0016,0.0061,0.0118,0.017,0.0088,0.0143,0.2224
1211,-1,0,archive.json,-1,14,-1,11,False,False,False,False,0.0309,0.0015,0.0039,0.0119,0.0123,0.0105,0.005,0.2458
2799,-1,24,archive.json,-1,12,-1,10,False,False,False,False,0.0263,0.0015,0.003,0.0112,0.0172,0.0101,0.0093,0.3642
449,-1,0,archive.json,-1,19,-1,17,False,False,False,False,0.0239,0.0009,0.003,0.0105,0.0131,0.0073,0.0052,0.1722
4243,-1,132,archive.json,-1,17,-1,15,False,False,False,False,0.0232,0.0009,0.0049,0.0106,0.0114,0.0074,0.0051,0.2164
882,-1,0,archive.json,-1,19,-1,17,False,False,False,False,0.0166,0.001,0.0026,0.0091,0.0136,0.0077,0.0075,0.2203
4267,-1,134,archive.json,-1,21,-1,18,False,False,False,False,0.014,0.0011,0.0026,0.0078,0.0135,0.0078,0.0086,0.1602
3056,-1,48,archive.json,-1,17,-1,15,False,False,False,False,0.0138,0.001,0.0028,0.0085,0.0131,0.0077,0.0087,0.2977
4119,-1,121,archive.json,-1,18,-1,16,False,False,False,False,0.0138,0.001,0.0027,0.0085,0.0129,0.0076,0.0083,0.2968
4244,-1,132,archive.json,-1,18,-1,16,False,False,False,False,0.0138,0.001,0.0027,0.0085,0.0129,0.0076,0.0083,0.2968
2901,-1,33,archive.json,-1,9,-1,7,False,False,False,False,0.2027,0.0038,0.0397,0.1627,0.0209,0.0088,0.0119,0.3586
2466,-1,0,archive.json,-1,3,-1,3,False,False,False,False,0.2024,0.0066,0.2294,0.0824,0.062,0.01,0.0217,0.3697
2729,-1,19,archive.json,-1,1,-1,1,False,False,False,False,0.2017,0.0061,0.191,0.0836,0.0277,0.0117,0.0271,0.3892
4284,-1,135,archive.json,-1,14,-1,13,False,False,False,False,0.0232,0.0012,0.0021,0.0136,0.0148,0.0068,0.0078,0.347
4274,-1,135,archive.json,-1,19,-1,17,False,False,False,False,0.0116,0.0009,0.0026,0.0077,0.013,0.0076,0.0074,0.2445
4280,-1,135,archive.json,-1,25,-1,21,False,False,False,False,0.0109,0.0005,0.0014,0.008,0.01,0.0064,0.0032,0.1613
3678,-1,89,archive.json,-1,12,-1,10,False,False,False,False,0.035,0.0014,0.0164,0.015,0.0198,0.0073,0.0149,0.2849
4116,-1,121,archive.json,-1,18,-1,16,False,False,False,False,0.0343,0.0008,0.0027,0.0158,0.0114,0.007,0.0053,0.1702
1531,-1,0,archive.json,-1,16,-1,14,False,False,False,False,0.0333,0.0013,0.0047,0.017,0.0198,0.008,0.0114,0.2044
4255,-1,133,archive.json,-1,13,-1,11,False,False,False,False,0.0317,0.0018,0.0082,0.0139,0.0243,0.0074,0.0235,0.302
4276,-1,135,archive.json,-1,19,-1,17,False,False,False,False,0.0247,0.0009,0.0032,0.0136,0.0138,0.0066,0.0056,0.1655
4278,-1,135,archive.json,-1,17,-1,15,False,False,False,False,0.0196,0.0011,0.0026,0.01,0.0141,0.008,0.0085,0.2469
4281,-1,135,archive.json,-1,23,-1,20,False,False,False,False,0.0124,0.0006,0.0016,0.0083,0.0101,0.0065,0.0042,0.2018
3358,-1,68,archive.json,-1,1,-1,1,False,False,False,False,0.2285,0.0084,0.248,0.0705,0.0861,0.0107,0.0415,0.3925
3707,-1,90,archive.json,-1,6,-1,6,False,False,False,False,0.2285,0.0038,0.0415,0.1699,0.0241,0.0076,0.0123,0.4409
3278,-1,64,archive.json,-1,3,-1,3,False,False,False,False,0.2271,0.0047,0.1616,0.0836,0.0427,0.0097,0.0135,0.2798
2993,-1,42,archive.json,-1,4,-1,4,False,False,False,False,0.2258,0.0059,0.2108,0.1162,0.018,0.0087,0.0126,0.3463
4020,-1,112,archive.json,-1,3,-1,3,False,False,False,False,0.2258,0.0063,0.2683,0.0669,0.0275,0.0119,0.0221,0.3349
4299,-1,136,archive.json,-1,2,-1,2,False,False,False,False,0.2164,0.0074,0.2616,0.0653,0.0469,0.0117,0.0314,0.3562
3283,-1,64,archive.json,-1,1,-1,1,False,False,False,False,0.2151,0.005,0.1769,0.0898,0.0185,0.0079,0.0489,0.3738
4297,-1,136,archive.json,-1,17,-1,15,False,False,False,False,0.0343,0.0011,0.0038,0.0179,0.015,0.0069,0.007,0.2089
3411,-1,71,archive.json,-1,3,-1,3,False,False,False,False,0.2071,0.0062,0.2246,0.073,0.0255,0.009,0.0188,0.3524
2815,-1,26,archive.json,-1,4,-1,4,False,False,False,False,0.2044,0.0055,0.1723,0.1132,0.0205,0.0099,0.0155,0.3777
2808,-1,25,archive.json,-1,3,-1,3,False,False,False,False,0.2029,0.0053,0.049,0.0665,0.0374,0.0111,0.3422,0.2777
2819,-1,26,archive.json,-1,4,-1,4,False,False,False,False,0.2027,0.0056,0.18,0.0971,0.0216,0.0101,0.0167,0.2774
4319,-1,137,archive.json,-1,7,-1,6,False,False,False,False,0.1538,0.004,0.067,0.0711,0.0176,0.009,0.013,0.3542
4315,-1,137,archive.json,-1,13,-1,11,False,False,False,False,0.0481,0.0018,0.0043,0.022,0.0301,0.0081,0.014,0.3008
4318,-1,137,archive.json,-1,18,-1,16,False,False,False,False,0.0303,0.0011,0.003,0.0159,0.0118,0.007,0.005,0.2244
4314,-1,137,archive.json,-1,18,-1,16,False,False,False,False,0.017,0.001,0.0034,0.0089,0.0148,0.008,0.0097,0.1841
4308,-1,137,archive.json,-1,18,-1,16,False,False,False,False,0.015,0.0009,0.0024,0.0089,0.0125,0.0074,0.0073,0.2629
4316,-1,137,archive.json,-1,16,-1,14,False,False,False,False,0.0146,0.0008,0.0021,0.0096,0.0139,0.0066,0.0067,0.3423
4312,-1,137,archive.json,-1,20,-1,17,False,False,False,False,0.0115,0.0009,0.0025,0.0079,0.0128,0.0074,0.0082,0.2306
2875,-1,32,archive.json,-1,5,-1,4,False,False,False,False,0.2546,0.0072,0.0792,0.1973,0.0645,0.0108,0.0282,0.3608
2903,-1,34,archive.json,-1,2,-1,2,False,False,False,False,0.2546,0.0076,0.0561,0.1198,0.0492,0.0122,0.3426,0.3055
3031,-1,46,archive.json,-1,3,-1,3,False,False,False,False,0.2546,0.0074,0.2649,0.1216,0.0288,0.01,0.0226,0.3177
3270,-1,64,archive.json,-1,2,-1,2,False,False,False,False,0.2546,0.0086,0.2803,0.1415,0.0414,0.0135,0.0235,0.3485
3307,-1,66,archive.json,-1,1,-1,1,False,False,False,False,0.2546,0.0087,0.2803,0.1,0.061,0.0112,0.0294,0.3731
4016,-1,112,archive.json,-1,7,-1,6,False,False,False,False,0.2546,0.0044,0.0529,0.2442,0.0233,0.0079,0.0117,0.3889
3287,-1,65,archive.json,-1,3,-1,3,False,False,False,False,0.2546,0.0063,0.2788,0.1379,0.0239,0.01,0.0155,0.3481
3376,-1,69,archive.json,-1,2,-1,2,False,False,False,False,0.2546,0.0075,0.2803,0.1132,0.0231,0.0109,0.0184,0.4019
3868,-1,103,archive.json,-1,0,-1,0,True,False,False,True,0.2546,0.0095,0.2633,0.0858,0.0958,0.0208,0.0473,0.4377
4235,-1,131,archive.json,-1,4,-1,3,False,False,False,False,0.2546,0.0076,0.1423,0.1798,0.027,0.0095,0.0183,0.3657
3329,-1,67,archive.json,-1,4,-1,4,False,False,False,False,0.2541,0.006,0.2565,0.1088,0.0211,0.0089,0.0141,0.3486
3871,-1,103,archive.json,-1,2,-1,2,False,False,False,False,0.2541,0.0076,0.2855,0.0841,0.0464,0.0109,0.0239,0.2961
3246,-1,62,archive.json,-1,1,-1,1,False,False,False,False,0.2524,0.0089,0.2808,0.0851,0.0768,0.0112,0.0302,0.3845
4167,-1,124,archive.json,-1,7,-1,6,False,False,False,False,0.2508,0.0045,0.048,0.2429,0.0215,0.0083,0.0137,0.3938
3264,-1,63,archive.json,-1,4,-1,4,False,False,False,False,0.2508,0.0043,0.04,0.2417,0.0208,0.0084,0.0109,0.5025
2727,-1,19,archive.json,-1,7,-1,5,False,False,False,False,0.2492,0.0049,0.0584,0.223,0.0229,0.0092,0.0171,0.3503
3163,-1,58,archive.json,-1,2,-1,2,False,False,False,False,0.246,0.0081,0.2803,0.0846,0.061,0.0107,0.0282,0.3977
4262,-1,134,archive.json,-1,1,-1,1,False,False,False,False,0.2444,0.0079,0.27,0.1146,0.0832,0.009,0.0359,0.3788
3498,-1,77,archive.json,-1,6,-1,4,False,False,False,False,0.2428,0.0053,0.067,0.1798,0.0309,0.0089,0.0183,0.3811
3345,-1,68,archive.json,-1,1,-1,1,False,False,False,False,0.2412,0.0084,0.2803,0.0816,0.0549,0.0104,0.0258,0.4068
2476,-1,0,archive.json,-1,4,-1,4,False,False,False,False,0.2412,0.0072,0.1871,0.1433,0.0271,0.0101,0.0166,0.3431
3171,-1,58,archive.json,-1,7,-1,6,False,False,False,False,0.2396,0.005,0.0485,0.186,0.0299,0.0096,0.0155,0.3983
3033,-1,46,archive.json,-1,10,-1,8,False,False,False,False,0.2374,0.0036,0.0246,0.195,0.0331,0.0086,0.012,0.3349
3279,-1,64,archive.json,-1,8,-1,6,False,False,False,False,0.2367,0.004,0.0286,0.1935,0.0255,0.0089,0.0127,0.4038
4230,-1,131,archive.json,-1,5,-1,4,False,False,False,False,0.2367,0.0054,0.1022,0.168,0.0309,0.0094,0.0165,0.3104
3262,-1,63,archive.json,-1,5,-1,4,False,False,False,False,0.2352,0.0066,0.0776,0.1288,0.1036,0.0126,0.0356,0.3455
4236,-1,131,archive.json,-1,5,-1,4,False,False,False,False,0.2345,0.0054,0.1022,0.1627,0.0314,0.0092,0.0158,0.2634
3953,-1,108,archive.json,-1,1,-1,1,False,False,False,False,0.2334,0.0086,0.2803,0.0686,0.0732,0.0117,0.037,0.3791
