metric,p_mwu,p_holm,cliffs_delta,median_diff_ci_lo,median_diff_ci_hi
wall_s,0.0005827505827505828,0.0011655011655011655,1.0,-21422.69,-16783.288250000005
throughput,0.0005827505827505828,0.0011655011655011655,-1.0,0.016055864083218678,0.01907193567205743
