genome_id,species_id,generation,source_file,species_pareto_rank,global_pareto_rank,reserves_pareto_rank,archive_pareto_rank,on_global_f0,on_species_f0,on_reserves_f0,on_archive_f0,toxicity,severe_toxicity,identity_attack,insult,profanity,threat,sexually_explicit,flirtation
2465,2425,0,elites.json,2,11,-1,-1,False,False,False,False,0.0461,0.0017,0.0083,0.0223,0.0188,0.0085,0.0258,0.3161
2469,2425,0,elites.json,1,5,-1,-1,False,False,False,False,0.1304,0.0034,0.0139,0.0292,0.0349,0.0085,0.3208,0.2343
3104,2425,53,elites.json,0,7,-1,-1,False,True,False,False,0.1931,0.0051,0.0405,0.079,0.0726,0.0139,0.0191,0.3293
5180,2425,191,elites.json,0,7,-1,-1,False,True,False,False,0.0769,0.0027,0.0104,0.0283,0.0234,0.0077,0.0645,0.408
5492,2425,214,elites.json,2,15,-1,-1,False,False,False,False,0.055,0.0013,0.0042,0.0194,0.0128,0.0095,0.0083,0.2117
5499,2425,214,elites.json,1,11,-1,-1,False,False,False,False,0.0769,0.0024,0.0168,0.0261,0.0367,0.0124,0.0184,0.2284
5535,2425,217,elites.json,1,9,-1,-1,False,False,False,False,0.0493,0.0017,0.0048,0.0235,0.0176,0.0071,0.0281,0.401
5538,2425,217,elites.json,1,4,-1,-1,False,False,False,False,0.1035,0.0028,0.0284,0.0306,0.0193,0.0078,0.1748,0.2447
5623,2425,223,elites.json,1,3,-1,-1,False,False,False,False,0.1111,0.0058,0.0264,0.03,0.066,0.0122,0.199,0.3168
5667,2425,226,elites.json,3,16,-1,-1,False,False,False,False,0.0296,0.0012,0.0054,0.0159,0.0162,0.0076,0.01,0.2298
5672,2425,226,elites.json,3,16,-1,-1,False,False,False,False,0.0303,0.0012,0.0041,0.0174,0.0142,0.0074,0.0103,0.2261
5674,2425,226,elites.json,1,13,-1,-1,False,False,False,False,0.0948,0.0013,0.0054,0.0602,0.0151,0.0065,0.0063,0.3194
5677,2425,226,elites.json,1,9,-1,-1,False,False,False,False,0.0983,0.0035,0.0107,0.0267,0.0324,0.0194,0.0352,0.2321
5812,2425,235,elites.json,1,7,-1,-1,False,False,False,False,0.0911,0.0027,0.012,0.0286,0.0226,0.0087,0.1141,0.3473
5815,2425,235,elites.json,0,0,-1,-1,True,True,False,False,0.1183,0.0056,0.0162,0.0227,0.0685,0.0097,0.3426,0.5654
5816,2425,235,elites.json,0,6,-1,-1,False,True,False,False,0.1087,0.0039,0.0166,0.0363,0.0377,0.0087,0.1147,0.3654
5818,2425,235,elites.json,0,3,-1,-1,False,True,False,False,0.1106,0.0035,0.0096,0.0347,0.0245,0.0076,0.178,0.4173
5819,2425,235,elites.json,4,17,-1,-1,False,False,False,False,0.0265,0.0009,0.0038,0.0161,0.0128,0.0065,0.0094,0.2035
5823,2425,235,elites.json,2,11,-1,-1,False,False,False,False,0.0745,0.0021,0.0226,0.0283,0.0191,0.0076,0.034,0.2108
6000,2425,247,elites.json,0,2,-1,-1,False,True,False,False,0.196,0.0071,0.0389,0.0409,0.0939,0.032,0.3426,0.3613
6003,2425,247,elites.json,1,4,-1,-1,False,False,False,False,0.0887,0.0027,0.0107,0.0173,0.0281,0.0076,0.2373,0.4134
6005,2425,247,elites.json,0,3,-1,-1,False,True,False,False,0.0832,0.0028,0.0118,0.0309,0.0229,0.0075,0.1082,0.4487
6009,2425,247,elites.json,1,10,-1,-1,False,False,False,False,0.0785,0.0023,0.011,0.03,0.0204,0.0073,0.0415,0.3391
6056,2425,250,elites.json,2,13,-1,-1,False,False,False,False,0.0488,0.0015,0.0144,0.0204,0.0192,0.0074,0.0089,0.2643
