genome_id,species_id,generation,source_file,species_pareto_rank,global_pareto_rank,reserves_pareto_rank,archive_pareto_rank,on_global_f0,on_species_f0,on_reserves_f0,on_archive_f0,toxicity,severe_toxicity,identity_attack,insult,profanity,threat,sexually_explicit,flirtation
1683,2424,0,elites.json,1,12,-1,-1,False,False,False,False,0.0441,0.0021,0.0153,0.0173,0.0198,0.0092,0.013,0.2731
495,2424,0,elites.json,1,10,-1,-1,False,False,False,False,0.1091,0.0035,0.0139,0.0319,0.0414,0.0119,0.0223,0.2308
4247,2424,132,elites.json,4,17,-1,-1,False,False,False,False,0.0138,0.001,0.0028,0.0085,0.0131,0.0077,0.0087,0.2977
3771,2424,96,elites.json,4,17,-1,-1,False,False,False,False,0.0129,0.0011,0.0031,0.0088,0.0159,0.0068,0.0101,0.2948
1271,2424,0,elites.json,2,12,-1,-1,False,False,False,False,0.0543,0.0027,0.007,0.0202,0.0314,0.0116,0.0211,0.2344
3081,2424,50,elites.json,1,11,-1,-1,False,False,False,False,0.0575,0.0021,0.0236,0.0237,0.025,0.0074,0.0185,0.2753
2047,2424,0,elites.json,1,5,-1,-1,False,False,False,False,0.0729,0.0037,0.0062,0.014,0.0464,0.0317,0.0268,0.4116
116,2424,0,elites.json,1,13,-1,-1,False,False,False,False,0.1113,0.0021,0.0092,0.0328,0.0243,0.0083,0.0127,0.253
242,2424,0,elites.json,0,4,-1,-1,False,True,False,False,0.1304,0.0069,0.0075,0.0261,0.0729,0.087,0.0397,0.3302
243,2424,0,elites.json,0,3,-1,-1,False,True,False,False,0.12,0.0062,0.0222,0.0245,0.0494,0.1039,0.0363,0.2352
291,2424,0,elites.json,0,8,-1,-1,False,True,False,False,0.1798,0.0107,0.0156,0.0561,0.0784,0.0253,0.0461,0.2749
481,2424,0,elites.json,0,6,-1,-1,False,True,False,False,0.2178,0.0087,0.0346,0.0702,0.0932,0.0282,0.0377,0.359
482,2424,0,elites.json,0,5,-1,-1,False,True,False,False,0.1884,0.0106,0.0248,0.0616,0.266,0.0108,0.1153,0.3802
1315,2424,0,elites.json,1,9,-1,-1,False,False,False,False,0.1114,0.0038,0.0139,0.0318,0.0574,0.0232,0.0254,0.2166
1763,2424,0,elites.json,0,6,-1,-1,False,True,False,False,0.1226,0.0074,0.0158,0.0298,0.0848,0.0256,0.0695,0.3128
1773,2424,0,elites.json,1,11,-1,-1,False,False,False,False,0.0903,0.003,0.0165,0.0254,0.0402,0.0119,0.0256,0.2185
2548,2424,7,elites.json,1,9,-1,-1,False,False,False,False,0.0682,0.0028,0.0079,0.0208,0.026,0.0147,0.0193,0.361
2630,2424,13,elites.json,1,11,-1,-1,False,False,False,False,0.1048,0.003,0.0074,0.0392,0.0599,0.0094,0.0148,0.3297
2657,2424,15,elites.json,1,5,-1,-1,False,False,False,False,0.0793,0.0037,0.0072,0.0235,0.0559,0.0092,0.0254,0.4562
2755,2424,21,elites.json,1,11,-1,-1,False,False,False,False,0.0952,0.002,0.0056,0.0438,0.0193,0.0092,0.0122,0.3474
2759,2424,21,elites.json,1,11,-1,-1,False,False,False,False,0.1061,0.0023,0.0073,0.0314,0.027,0.0109,0.0172,0.2633
2762,2424,21,elites.json,2,11,-1,-1,False,False,False,False,0.0642,0.002,0.0041,0.0195,0.0166,0.0119,0.0141,0.342
2764,2424,21,elites.json,2,11,-1,-1,False,False,False,False,0.0658,0.0031,0.0105,0.0219,0.0314,0.0107,0.0267,0.1925
3208,2424,61,elites.json,2,11,-1,-1,False,False,False,False,0.0658,0.0017,0.0076,0.0287,0.0173,0.0072,0.0088,0.3613
3222,2424,61,elites.json,0,8,-1,-1,False,True,False,False,0.0992,0.004,0.0181,0.027,0.0412,0.0136,0.0472,0.3686
4067,2424,117,elites.json,0,3,-1,-1,False,True,False,False,0.1527,0.0068,0.0607,0.0339,0.0852,0.0579,0.0701,0.346
4069,2424,117,elites.json,2,12,-1,-1,False,False,False,False,0.0577,0.0023,0.0094,0.0258,0.0213,0.0087,0.0124,0.3178
4072,2424,117,elites.json,2,11,-1,-1,False,False,False,False,0.069,0.0024,0.0104,0.023,0.0281,0.011,0.0141,0.3019
4076,2424,117,elites.json,0,7,-1,-1,False,True,False,False,0.1817,0.006,0.0289,0.0615,0.0758,0.018,0.0328,0.3772
4464,2424,147,elites.json,0,3,-1,-1,False,True,False,False,0.1235,0.0074,0.0204,0.0342,0.0777,0.032,0.0392,0.4565
5253,2424,195,elites.json,2,12,-1,-1,False,False,False,False,0.0597,0.0022,0.0091,0.0248,0.0372,0.011,0.0197,0.2741
