generation,active_species_count,species_count,reserves_size,max_score_variants,avg_fitness,avg_fitness_variants,elites_count,archived_count,speciation_events,merge_events,extinction_events,collapsed_to_one
238,7,7,275,0.9045,0.3452,0.2526,425,13,6,0,0,False
239,1,1,275,0.886,0.2411,0.4187,150,13,0,3,0,True
240,7,7,275,0.9045,0.3523,0.429,425,19,6,0,0,False
241,1,1,288,0.3923,0.2351,0.0613,150,1,0,3,0,True
242,7,7,288,0.8779,0.3451,0.5192,438,12,6,0,0,False
243,1,1,288,0.911,0.2365,0.4646,150,16,0,3,0,True
244,7,7,288,0.911,0.3407,0.3195,438,15,6,0,0,False
245,0,0,439,0.4645,0.2297,0.0825,438,11,0,3,0,False
246,9,9,439,0.9061,0.3442,0.4856,453,0,9,0,0,False
247,1,1,299,0.9045,0.3438,0.3113,150,19,0,4,0,True
248,8,8,3,0.921,0.3345,0.2344,446,18,7,0,0,False
249,1,1,438,0.9163,0.3344,0.1958,20,6,0,3,0,True
250,9,9,3,0.8585,0.3312,0.2566,460,11,8,0,0,False
