N_1,K_topics,evenness,shannon_H,run_id,condition,novel_topic_rate
1.324985928777751,2,0.40597703847557115,0.28140183959141857,run01_comb,baseline,0.0
1.0,1,0.0,-0.0,run02_comb,baseline,0.0
1.1226650681212473,3,0.1053195790925765,0.11570538382845746,run03_comb,baseline,0.0
2.0365175525785637,3,0.6473997008754725,0.7112412670618525,run04_comb,baseline,0.0
2.0428785888367633,3,0.6502383903364785,0.7143598861874263,run05_comb,baseline,0.0
35.71989978156588,60,0.8733285379373372,3.575707950337114,run01_speciated,speciation,0.9333333333333333
25.61624356305291,56,0.8057002005347639,3.243226664448261,run02_speciated,speciation,0.9285714285714286
35.305145126797946,61,0.8669759339198478,3.56402870761835,run03_speciated,speciation,0.9180327868852459
28.708392127661025,55,0.8377615070849301,3.3571894886518083,run04_speciated,speciation,0.9272727272727272
29.6269213027619,59,0.8310612711892436,3.3886834514540265,run05_speciated,speciation,0.9152542372881356
